date,product_id,product,sales,price,category
9/22/2024,56,poncho,163,108.36,Chaquetas
6/5/2025,57,botas,141,18.04,accesorios
8/27/2025,58,Impermeable,144,91.69,accesorios
7/15/2025,59,guantes,139,57.02,accesorios
11/29/2024,60,botas,6,69.7,Chaquetas
5/26/2025,61,guantes,71,169.87,calzado
9/12/2024,62,poncho,104,130.94,Chaquetas
5/22/2025,63,Impermeable,5,66.66,Chaquetas
2/15/2025,64,guantes,87,22.65,calzado
7/18/2025,65,bufanda,149,135.6,accesorios
12/9/2024,66,bufanda,14,33.28,Chaquetas
10/27/2024,67,poncho,103,186.1,calzado
2/24/2025,68,botas,125,171.3,calzado
1/13/2025,69,bufanda,140,123.31,accesorios
4/14/2025,70,guantes,156,75.85,calzado
11/26/2024,71,paraguas,149,56.76,accesorios
9/9/2024,72,bufanda,187,28.24,accesorios
12/17/2024,73,guantes,21,16.1,accesorios
3/9/2025,74,Impermeable,4,179.33,accesorios
6/7/2025,75,bufanda,73,83.01,Chaquetas
3/1/2025,76,guantes,78,159.48,accesorios
5/27/2025,77,guantes,12,34.55,accesorios
8/24/2025,78,poncho,162,167.22,Chaquetas
2/28/2025,79,guantes,16,117.16,accesorios
8/18/2025,80,paraguas,28,147.71,accesorios
3/22/2025,81,botas,132,44.52,calzado
2/17/2025,82,chaqueta,129,79.31,Chaquetas
4/19/2025,83,guantes,135,53.45,accesorios
8/1/2025,84,poncho,177,184.3,accesorios
9/27/2024,85,guantes,71,126.54,accesorios
12/24/2024,86,Impermeable,120,98.57,calzado
12/6/2024,87,botas,87,81.63,accesorios
3/2/2025,88,botas,177,194.12,accesorios
6/21/2025,89,chaqueta,98,50.14,calzado
1/8/2025,90,bufanda,74,123.14,Chaquetas
5/31/2025,91,paraguas,16,73.72,calzado
12/31/2024,92,botas,195,67.71,Chaquetas
2/8/2025,93,guantes,32,148.04,calzado
10/30/2024,94,chaqueta,50,147.72,calzado
3/10/2025,95,chaqueta,22,187.73,accesorios
9/30/2024,96,botas,163,191.95,calzado
11/15/2024,97,bufanda,62,111.04,calzado
4/20/2025,98,poncho,154,184.11,accesorios
1/7/2025,99,Impermeable,129,191.75,calzado
10/8/2024,100,chaqueta,128,166.65,calzado
2/16/2025,101,Impermeable,4,118.63,Chaquetas
8/8/2025,102,paraguas,13,172.37,accesorios
9/8/2024,103,botas,48,36.24,calzado
2/10/2025,104,bufanda,87,118.55,Chaquetas
10/11/2024,105,botas,200,199.34,calzado
12/5/2024,106,poncho,17,69.34,calzado
12/13/2024,107,paraguas,119,180.3,accesorios
10/30/2024,108,paraguas,85,73.13,accesorios
7/5/2025,109,poncho,56,79.44,calzado
6/4/2025,110,botas,148,124.12,calzado
1/16/2025,111,guantes,135,143.53,accesorios
12/31/2024,112,poncho,177,193.86,Chaquetas
6/6/2025,113,Impermeable,4,74.84,accesorios
9/28/2024,114,bufanda,142,91.68,Chaquetas
5/7/2025,115,bufanda,7,168.44,calzado
12/3/2024,116,botas,31,37.21,calzado
6/19/2025,117,paraguas,88,109.63,calzado
11/1/2024,118,paraguas,186,56.32,calzado
9/28/2024,119,paraguas,113,171.12,Chaquetas
1/30/2025,120,guantes,99,187.75,calzado
5/6/2025,121,Impermeable,123,84.9,calzado
2/11/2025,122,poncho,35,151.63,accesorios
5/9/2025,123,chaqueta,77,77.94,accesorios
10/6/2024,124,botas,7,170.75,calzado
10/1/2024,125,botas,63,195.14,accesorios
9/27/2024,126,chaqueta,147,28.08,calzado
8/27/2025,127,Impermeable,60,50.02,Chaquetas
2/5/2025,128,chaqueta,159,152.66,accesorios
12/2/2024,129,Impermeable,48,110.77,calzado
3/27/2025,130,botas,122,36.88,accesorios
8/24/2025,131,guantes,198,188.4,calzado
3/7/2025,132,botas,146,58.28,Chaquetas
4/4/2025,133,bufanda,196,139.7,Chaquetas
11/3/2024,134,botas,145,134.52,calzado
8/31/2024,135,chaqueta,43,51.07,calzado
2/21/2025,136,Impermeable,21,70.43,calzado
4/9/2025,137,paraguas,161,95.48,accesorios
1/31/2025,138,chaqueta,68,81.31,calzado
6/7/2025,139,guantes,18,136.05,Chaquetas
10/3/2024,140,botas,19,42.49,accesorios
2/21/2025,141,poncho,83,28.19,calzado
12/2/2024,142,poncho,50,82.46,calzado
7/18/2025,143,guantes,182,15.5,accesorios
1/6/2025,144,guantes,58,100.05,calzado
5/12/2025,145,poncho,133,164.23,accesorios
5/5/2025,146,paraguas,46,66.89,calzado
12/16/2024,147,Impermeable,86,118.5,accesorios
9/22/2024,148,paraguas,36,172.06,accesorios
8/11/2025,149,botas,98,84.77,accesorios
12/23/2024,150,botas,49,64.89,accesorios
12/5/2024,151,botas,94,173.64,accesorios
12/30/2024,152,poncho,41,168.82,Chaquetas
7/31/2025,153,paraguas,101,124.7,accesorios
9/5/2024,154,guantes,49,195.42,accesorios
3/7/2025,155,Impermeable,98,29.48,calzado
10/21/2024,156,chaqueta,108,130.85,calzado
5/24/2025,157,poncho,87,10.97,Chaquetas
10/29/2024,158,Impermeable,77,175.56,Chaquetas
6/20/2025,159,guantes,105,145.2,accesorios
2/15/2025,160,chaqueta,67,54.61,Chaquetas
12/23/2024,161,paraguas,123,96.44,calzado
2/12/2025,162,guantes,185,120.99,accesorios
6/28/2025,163,guantes,36,36.15,calzado
3/21/2025,164,Impermeable,49,69.03,Chaquetas
6/30/2025,165,guantes,183,112.19,calzado
2/5/2025,166,Impermeable,200,178.26,Chaquetas
9/17/2024,167,guantes,115,96.97,Chaquetas
6/15/2025,168,botas,22,33.11,Chaquetas
1/10/2025,169,poncho,149,84.64,accesorios
9/12/2024,170,poncho,153,24.44,accesorios
1/1/2025,171,paraguas,158,136.04,calzado
6/29/2025,172,Impermeable,20,16.71,calzado
5/26/2025,173,chaqueta,81,116.92,calzado
8/22/2025,174,Impermeable,5,129.36,accesorios
5/20/2025,175,paraguas,154,192.58,calzado
12/3/2024,176,poncho,147,157.91,Chaquetas
9/7/2024,177,Impermeable,78,97.82,calzado
3/15/2025,178,bufanda,93,193.52,Chaquetas
9/19/2024,179,guantes,80,176.4,accesorios
2/21/2025,180,botas,18,66.72,Chaquetas
9/27/2024,181,botas,55,97.55,calzado
8/10/2025,182,paraguas,152,165.04,Chaquetas
5/8/2025,183,paraguas,126,141.84,Chaquetas
3/4/2025,184,botas,147,120.18,accesorios
5/31/2025,185,Impermeable,189,147.71,calzado
3/19/2025,186,bufanda,48,119.03,calzado
10/9/2024,187,botas,93,173.79,calzado
3/31/2025,188,bufanda,68,66.9,calzado
2/4/2025,189,paraguas,16,132.93,calzado
6/16/2025,190,guantes,114,124.57,Chaquetas
10/31/2024,191,guantes,183,55.04,Chaquetas
1/19/2025,192,bufanda,105,157.27,accesorios
6/13/2025,193,bufanda,199,172.96,accesorios
7/6/2025,194,poncho,89,21.29,accesorios
7/17/2025,195,paraguas,113,190.42,calzado
5/13/2025,196,chaqueta,168,14.31,calzado
12/1/2024,197,bufanda,196,37.27,calzado
6/12/2025,198,chaqueta,89,192.97,Chaquetas
8/15/2025,199,poncho,96,160.29,calzado
5/29/2025,200,Impermeable,161,152.37,accesorios
8/21/2025,201,botas,16,149.14,accesorios
8/2/2025,202,chaqueta,27,183.4,calzado
2/6/2025,203,botas,169,54.06,accesorios
4/16/2025,204,Impermeable,196,22.38,Chaquetas
5/22/2025,205,botas,119,28.83,Chaquetas
4/17/2025,206,guantes,35,184.83,calzado
1/17/2025,207,poncho,163,16.98,calzado
8/21/2025,208,bufanda,141,159.46,Chaquetas
2/15/2025,209,bufanda,163,128.23,Chaquetas
8/8/2025,210,chaqueta,24,166.08,Chaquetas
6/12/2025,211,poncho,89,177.7,accesorios
3/14/2025,212,bufanda,101,148.17,accesorios
5/17/2025,213,paraguas,132,109.38,calzado
4/21/2025,214,chaqueta,191,137.91,Chaquetas
11/29/2024,215,guantes,176,172.63,accesorios
8/17/2025,216,guantes,142,157.79,accesorios
4/3/2025,217,Impermeable,187,70.45,accesorios
7/23/2025,218,guantes,68,24.07,accesorios
7/30/2025,219,paraguas,126,66.57,Chaquetas
11/16/2024,220,guantes,158,67.7,calzado
8/30/2024,221,poncho,51,148.52,Chaquetas
11/28/2024,222,Impermeable,43,41.12,accesorios
1/12/2025,223,paraguas,143,11.93,accesorios
9/6/2024,224,bufanda,52,112.64,Chaquetas
5/27/2025,225,bufanda,169,187.79,calzado
9/21/2024,226,botas,108,27.76,calzado
5/28/2025,227,chaqueta,28,11.26,accesorios
7/7/2025,228,Impermeable,153,67.33,accesorios
12/9/2024,229,paraguas,31,17.06,accesorios
9/1/2024,230,poncho,108,125.96,accesorios
10/12/2024,231,poncho,162,40.95,accesorios
3/28/2025,232,Impermeable,164,148.72,accesorios
1/9/2025,233,paraguas,158,139.0,accesorios
4/5/2025,234,poncho,128,88.38,Chaquetas
12/4/2024,235,bufanda,194,10.13,accesorios
8/7/2025,236,paraguas,145,192.27,Chaquetas
3/12/2025,237,poncho,195,135.25,calzado
4/14/2025,238,bufanda,76,108.37,calzado
1/20/2025,239,guantes,180,39.11,accesorios
4/16/2025,240,chaqueta,22,66.02,accesorios
12/1/2024,241,bufanda,190,13.58,calzado
10/17/2024,242,botas,196,102.56,calzado
6/14/2025,243,chaqueta,164,54.16,accesorios
6/12/2025,244,botas,80,114.68,Chaquetas
1/3/2025,245,paraguas,84,61.6,Chaquetas
10/12/2024,246,chaqueta,65,68.19,accesorios
3/15/2025,247,Impermeable,82,123.0,accesorios
12/30/2024,248,guantes,140,19.19,calzado
9/26/2024,249,poncho,60,31.31,calzado
7/14/2025,250,chaqueta,83,144.68,accesorios
8/5/2025,251,Impermeable,26,31.48,accesorios
4/30/2025,252,guantes,186,35.25,calzado
9/3/2024,253,paraguas,183,130.97,accesorios
3/6/2025,254,guantes,7,30.02,Chaquetas
10/6/2024,255,paraguas,34,162.56,calzado
12/4/2024,256,chaqueta,145,133.89,Chaquetas
9/29/2024,257,Impermeable,168,93.16,accesorios
11/7/2024,258,poncho,88,19.05,calzado
11/7/2024,259,chaqueta,13,37.44,Chaquetas
10/31/2024,260,chaqueta,101,13.29,calzado
4/14/2025,261,botas,70,116.79,Chaquetas
11/18/2024,262,bufanda,70,133.18,Chaquetas
9/16/2024,263,paraguas,43,131.26,Chaquetas
4/27/2025,264,botas,183,84.81,Chaquetas
11/10/2024,265,botas,110,11.22,accesorios
9/22/2024,266,poncho,117,60.83,Chaquetas
7/29/2025,267,Impermeable,174,62.71,calzado
9/19/2024,268,poncho,156,99.7,accesorios
10/15/2024,269,paraguas,119,20.4,Chaquetas
12/17/2024,270,poncho,129,127.68,Chaquetas
10/1/2024,271,poncho,55,151.66,Chaquetas
5/6/2025,272,chaqueta,27,183.31,Chaquetas
5/10/2025,273,Impermeable,149,42.08,calzado
1/18/2025,274,chaqueta,95,162.94,accesorios
11/6/2024,275,paraguas,99,139.47,accesorios
3/26/2025,276,chaqueta,122,186.13,calzado
1/11/2025,277,botas,141,181.18,Chaquetas
4/11/2025,278,guantes,150,188.02,calzado
9/11/2024,279,chaqueta,195,35.89,Chaquetas
5/24/2025,280,poncho,38,44.99,Chaquetas
2/18/2025,281,Impermeable,167,39.27,calzado
2/6/2025,282,paraguas,42,168.67,calzado
6/20/2025,283,guantes,26,68.75,accesorios
12/30/2024,284,chaqueta,159,126.45,Chaquetas
6/3/2025,285,chaqueta,197,118.31,calzado
2/21/2025,286,chaqueta,83,23.34,accesorios
8/4/2025,287,chaqueta,23,167.33,accesorios
8/22/2025,288,bufanda,136,14.61,Chaquetas
11/25/2024,289,chaqueta,2,181.69,Chaquetas
12/22/2024,290,guantes,125,160.66,accesorios
3/8/2025,291,Impermeable,126,166.43,accesorios
11/5/2024,292,Impermeable,4,109.33,accesorios
3/29/2025,293,botas,177,77.05,Chaquetas
10/24/2024,294,paraguas,118,184.9,accesorios
5/4/2025,295,botas,166,78.69,calzado
11/23/2024,296,guantes,1,120.63,calzado
5/14/2025,297,poncho,142,71.06,calzado
1/20/2025,298,paraguas,62,167.23,Chaquetas
12/16/2024,299,botas,3,105.38,accesorios
5/7/2025,300,guantes,14,33.31,calzado
1/8/2025,301,chaqueta,183,80.96,Chaquetas
6/10/2025,302,Impermeable,21,136.86,Chaquetas
6/18/2025,303,botas,52,200.0,calzado
5/1/2025,304,paraguas,155,47.57,Chaquetas
1/13/2025,305,paraguas,129,180.12,calzado
3/29/2025,306,bufanda,103,155.49,accesorios
2/24/2025,307,bufanda,51,35.56,Chaquetas
7/15/2025,308,paraguas,180,170.26,accesorios
7/24/2025,309,chaqueta,22,157.26,calzado
10/16/2024,310,chaqueta,97,192.58,calzado
5/17/2025,311,poncho,99,109.84,accesorios
12/13/2024,312,bufanda,5,73.86,Chaquetas
7/16/2025,313,guantes,85,80.78,accesorios
5/9/2025,314,paraguas,85,94.67,Chaquetas
2/1/2025,315,bufanda,109,48.42,accesorios
6/24/2025,316,paraguas,48,102.88,calzado
12/23/2024,317,guantes,186,119.32,calzado
1/30/2025,318,guantes,200,75.55,Chaquetas
10/30/2024,319,bufanda,180,198.91,calzado
1/16/2025,320,poncho,63,136.1,accesorios
3/8/2025,321,guantes,75,69.35,Chaquetas
12/14/2024,322,chaqueta,41,69.52,Chaquetas
7/23/2025,323,guantes,0,161.94,accesorios
4/21/2025,324,guantes,125,94.76,calzado
7/15/2025,325,botas,183,199.28,accesorios
8/30/2024,326,chaqueta,68,86.75,Chaquetas
12/23/2024,327,botas,4,74.41,accesorios
1/3/2025,328,botas,186,108.33,accesorios
3/7/2025,329,chaqueta,129,25.73,accesorios
10/2/2024,330,guantes,86,59.09,Chaquetas
4/7/2025,331,botas,20,12.7,calzado
12/29/2024,332,poncho,37,136.9,Chaquetas
7/26/2025,333,guantes,162,152.41,accesorios
4/25/2025,334,chaqueta,57,69.59,Chaquetas
4/20/2025,335,Impermeable,149,175.15,accesorios
6/20/2025,336,Impermeable,82,59.01,calzado
3/4/2025,337,paraguas,170,22.52,Chaquetas
4/19/2025,338,chaqueta,93,18.56,calzado
1/25/2025,339,botas,150,151.6,accesorios
10/24/2024,340,Impermeable,152,154.94,Chaquetas
8/18/2025,341,Impermeable,153,68.7,Chaquetas
12/3/2024,342,bufanda,109,90.43,Chaquetas
5/30/2025,343,paraguas,24,128.04,Chaquetas
3/25/2025,344,bufanda,17,190.19,accesorios
10/25/2024,345,chaqueta,43,62.45,calzado
8/18/2025,346,guantes,178,124.69,accesorios
9/29/2024,347,Impermeable,119,181.88,accesorios
10/2/2024,348,poncho,175,121.88,Chaquetas
6/17/2025,349,guantes,155,155.91,calzado
1/6/2025,350,bufanda,49,55.5,accesorios
8/23/2025,351,guantes,135,86.48,accesorios
7/31/2025,352,guantes,145,130.99,Chaquetas
7/9/2025,353,guantes,68,115.41,Chaquetas
11/11/2024,354,guantes,13,95.99,Chaquetas
11/6/2024,355,bufanda,51,71.4,accesorios
5/14/2025,356,botas,67,143.26,accesorios
5/19/2025,357,paraguas,0,164.69,accesorios
8/14/2025,358,botas,180,76.84,calzado
2/21/2025,359,poncho,64,194.09,calzado
7/10/2025,360,poncho,182,66.73,Chaquetas
6/16/2025,361,paraguas,102,146.49,accesorios
4/25/2025,362,paraguas,125,84.35,accesorios
5/21/2025,363,botas,164,51.21,calzado
10/25/2024,364,chaqueta,30,117.35,calzado
3/25/2025,365,poncho,36,22.33,Chaquetas
9/2/2024,366,chaqueta,177,154.55,calzado
8/16/2025,367,guantes,172,92.17,calzado
1/24/2025,368,guantes,184,30.57,calzado
11/26/2024,369,guantes,90,60.33,calzado
1/6/2025,370,botas,161,197.65,Chaquetas
12/12/2024,371,chaqueta,12,133.14,Chaquetas
6/12/2025,372,guantes,77,170.11,calzado
9/12/2024,373,Impermeable,129,144.92,accesorios
10/19/2024,374,poncho,149,27.33,calzado
5/7/2025,375,guantes,22,130.08,Chaquetas
3/29/2025,376,paraguas,190,94.04,calzado
1/25/2025,377,botas,108,123.44,Chaquetas
6/14/2025,378,chaqueta,146,153.79,calzado
7/31/2025,379,Impermeable,176,52.34,Chaquetas
4/3/2025,380,bufanda,31,32.89,accesorios
3/30/2025,381,chaqueta,180,52.26,calzado
2/15/2025,382,Impermeable,164,140.53,calzado
11/11/2024,383,botas,69,113.54,accesorios
5/9/2025,384,poncho,62,34.04,calzado
9/18/2024,385,Impermeable,44,27.31,accesorios
2/22/2025,386,bufanda,120,136.65,Chaquetas
11/25/2024,387,Impermeable,170,92.89,accesorios
10/22/2024,388,bufanda,7,160.17,accesorios
8/14/2025,389,Impermeable,101,71.13,Chaquetas
3/14/2025,390,Impermeable,141,45.36,accesorios
3/7/2025,391,poncho,26,117.79,Chaquetas
7/23/2025,392,Impermeable,15,174.0,calzado
7/9/2025,393,bufanda,173,15.15,Chaquetas
7/12/2025,394,paraguas,62,102.44,Chaquetas
3/4/2025,395,botas,15,68.95,Chaquetas
7/24/2025,396,chaqueta,108,192.69,calzado
1/15/2025,397,bufanda,16,126.22,calzado
8/13/2025,398,bufanda,67,197.1,Chaquetas
5/3/2025,399,poncho,42,72.92,accesorios
6/25/2025,400,botas,17,107.67,accesorios
7/23/2025,401,poncho,40,10.66,calzado
5/7/2025,402,guantes,172,128.35,calzado
10/20/2024,403,poncho,106,111.83,accesorios
4/21/2025,404,poncho,53,79.82,accesorios
4/17/2025,405,Impermeable,19,134.41,Chaquetas
7/22/2025,406,bufanda,59,199.9,Chaquetas
2/16/2025,407,guantes,26,152.69,Chaquetas
11/1/2024,408,Impermeable,32,91.35,calzado
3/11/2025,409,Impermeable,106,51.93,Chaquetas
5/25/2025,410,guantes,95,126.18,calzado
7/4/2025,411,poncho,161,64.63,calzado
9/4/2024,412,paraguas,71,64.37,calzado
12/29/2024,413,chaqueta,95,42.51,accesorios
8/17/2025,414,botas,96,173.4,accesorios
7/18/2025,415,guantes,78,31.27,calzado
4/28/2025,416,botas,135,120.28,Chaquetas
12/8/2024,417,bufanda,141,167.51,calzado
12/30/2024,418,Impermeable,136,195.1,calzado
3/16/2025,419,paraguas,9,185.79,Chaquetas
12/10/2024,420,poncho,48,155.35,accesorios
10/18/2024,421,poncho,59,158.85,accesorios
4/16/2025,422,bufanda,38,173.55,accesorios
5/31/2025,423,bufanda,192,34.14,accesorios
10/29/2024,424,chaqueta,2,110.47,calzado
4/1/2025,425,chaqueta,22,151.01,Chaquetas
3/16/2025,426,poncho,42,105.63,calzado
8/3/2025,427,paraguas,36,179.83,calzado
3/7/2025,428,paraguas,17,107.19,accesorios
3/6/2025,429,paraguas,171,73.88,accesorios
10/5/2024,430,Impermeable,179,143.46,accesorios
3/21/2025,431,poncho,22,15.04,calzado
1/18/2025,432,botas,195,61.7,Chaquetas
3/16/2025,433,poncho,85,166.02,Chaquetas
2/2/2025,434,guantes,2,34.83,calzado
1/25/2025,435,Impermeable,199,138.77,calzado
6/17/2025,436,botas,65,42.06,accesorios
6/4/2025,437,botas,109,70.03,accesorios
9/5/2024,438,bufanda,36,175.06,calzado
6/20/2025,439,paraguas,174,148.27,Chaquetas
5/21/2025,440,botas,44,146.65,accesorios
3/28/2025,441,paraguas,93,141.91,Chaquetas
1/26/2025,442,chaqueta,74,154.32,accesorios
5/1/2025,443,bufanda,47,99.14,accesorios
8/10/2025,444,botas,162,17.15,accesorios
12/11/2024,445,paraguas,54,93.5,calzado
9/27/2024,446,chaqueta,18,175.79,accesorios
9/20/2024,447,Impermeable,72,114.09,accesorios
1/15/2025,448,poncho,103,118.82,calzado
4/29/2025,449,guantes,93,156.15,Chaquetas
7/13/2025,450,Impermeable,186,121.62,Chaquetas
4/10/2025,451,paraguas,188,37.51,accesorios
9/4/2024,452,guantes,81,61.75,accesorios
9/29/2024,453,chaqueta,68,40.26,Chaquetas
2/5/2025,454,guantes,87,93.49,accesorios
6/27/2025,455,poncho,36,29.34,accesorios
7/21/2025,456,chaqueta,33,96.45,calzado
2/19/2025,457,paraguas,136,171.42,calzado
7/25/2025,458,Impermeable,119,37.49,calzado
7/25/2025,459,Impermeable,173,39.82,accesorios
2/19/2025,460,chaqueta,80,140.4,accesorios
12/30/2024,461,Impermeable,13,178.83,calzado
9/10/2024,462,chaqueta,102,74.47,calzado
5/17/2025,463,paraguas,191,36.39,accesorios
1/10/2025,464,chaqueta,148,65.15,Chaquetas
7/10/2025,465,Impermeable,22,119.52,calzado
8/31/2024,466,guantes,156,90.59,Chaquetas
6/10/2025,467,guantes,175,118.89,calzado
12/10/2024,468,paraguas,16,115.64,accesorios
6/12/2025,469,chaqueta,2,195.83,accesorios
8/2/2025,470,chaqueta,165,156.18,calzado
5/27/2025,471,guantes,10,69.5,Chaquetas
11/20/2024,472,bufanda,171,188.75,Chaquetas
12/13/2024,473,poncho,126,12.67,calzado
1/25/2025,474,bufanda,0,133.92,Chaquetas
9/6/2024,475,paraguas,71,169.22,accesorios
5/8/2025,476,bufanda,54,10.81,calzado
10/30/2024,477,chaqueta,171,134.44,accesorios
7/12/2025,478,guantes,166,63.86,Chaquetas
4/15/2025,479,guantes,146,70.37,Chaquetas
11/6/2024,480,poncho,184,30.94,accesorios
6/28/2025,481,poncho,191,101.13,Chaquetas
10/17/2024,482,poncho,144,46.85,accesorios
6/12/2025,483,guantes,159,194.63,accesorios
8/9/2025,484,poncho,169,179.72,accesorios
12/25/2024,485,chaqueta,132,76.45,Chaquetas
1/17/2025,486,paraguas,41,155.98,calzado
11/30/2024,487,bufanda,90,28.69,calzado
2/24/2025,488,botas,92,84.56,calzado
1/3/2025,489,botas,154,82.62,accesorios
10/26/2024,490,Impermeable,157,37.28,accesorios
3/14/2025,491,botas,21,89.45,accesorios
12/23/2024,492,chaqueta,194,196.77,calzado
9/23/2024,493,bufanda,133,79.07,Chaquetas
12/22/2024,494,paraguas,141,67.17,calzado
1/11/2025,495,chaqueta,172,85.48,Chaquetas
4/27/2025,496,chaqueta,140,19.76,accesorios
1/17/2025,497,chaqueta,181,85.83,calzado
1/10/2025,498,guantes,37,26.56,Chaquetas
5/19/2025,499,bufanda,38,164.0,accesorios
1/21/2025,500,bufanda,153,31.37,accesorios
11/10/2024,501,guantes,174,74.25,calzado
7/4/2025,502,botas,68,134.68,accesorios
4/10/2025,503,Impermeable,195,78.54,accesorios
12/11/2024,504,botas,34,147.98,accesorios
10/1/2024,505,guantes,36,174.67,Chaquetas
9/12/2024,506,poncho,52,66.5,calzado
11/2/2024,507,chaqueta,45,136.54,calzado
6/23/2025,508,chaqueta,7,153.85,calzado
10/23/2024,509,poncho,185,68.86,accesorios
1/31/2025,510,poncho,88,135.8,Chaquetas
10/1/2024,511,chaqueta,185,136.66,calzado
12/6/2024,512,guantes,64,151.93,accesorios
1/21/2025,513,bufanda,166,90.73,accesorios
5/14/2025,514,poncho,2,141.72,calzado
9/7/2024,515,botas,199,14.35,accesorios
4/11/2025,516,botas,126,24.82,Chaquetas
3/12/2025,517,Impermeable,169,21.84,accesorios
4/21/2025,518,poncho,89,136.87,calzado
3/9/2025,519,paraguas,101,85.59,accesorios
7/26/2025,520,botas,168,19.32,accesorios
8/27/2025,521,poncho,26,70.98,calzado
6/19/2025,522,bufanda,77,112.76,calzado
8/14/2025,523,Impermeable,22,74.84,calzado
4/10/2025,524,paraguas,36,93.42,accesorios
4/17/2025,525,bufanda,130,122.64,Chaquetas
7/3/2025,526,bufanda,112,110.45,Chaquetas
7/23/2025,527,chaqueta,17,112.34,calzado
7/26/2025,528,botas,60,77.09,calzado
10/26/2024,529,poncho,59,46.19,accesorios
2/6/2025,530,botas,7,110.66,Chaquetas
12/28/2024,531,Impermeable,134,43.79,calzado
3/29/2025,532,paraguas,96,152.94,calzado
10/1/2024,533,poncho,30,134.29,Chaquetas
1/1/2025,534,poncho,13,141.77,accesorios
9/7/2024,535,botas,164,190.83,calzado
10/10/2024,536,botas,125,160.98,calzado
10/17/2024,537,paraguas,151,196.8,accesorios
7/24/2025,538,poncho,32,117.93,accesorios
8/10/2025,539,chaqueta,43,86.44,calzado
4/24/2025,540,Impermeable,44,189.39,accesorios
7/13/2025,541,poncho,114,167.47,calzado
10/16/2024,542,Impermeable,106,102.73,Chaquetas
3/22/2025,543,guantes,118,141.64,accesorios
8/22/2025,544,paraguas,176,21.01,Chaquetas
10/24/2024,545,bufanda,148,132.95,Chaquetas
10/28/2024,546,poncho,0,32.11,accesorios
11/6/2024,547,bufanda,150,33.83,accesorios
6/26/2025,548,Impermeable,70,186.4,Chaquetas
8/24/2025,549,paraguas,99,123.85,Chaquetas
2/2/2025,550,paraguas,153,32.73,accesorios
5/31/2025,551,paraguas,111,107.02,calzado
7/2/2025,552,guantes,115,91.26,accesorios
6/30/2025,553,Impermeable,114,118.0,accesorios
12/9/2024,554,botas,85,174.11,accesorios
3/6/2025,555,poncho,101,55.34,calzado
3/18/2025,556,paraguas,66,165.68,calzado
1/27/2025,557,chaqueta,161,96.74,calzado
5/16/2025,558,bufanda,32,87.67,accesorios
10/23/2024,559,botas,135,128.15,accesorios
10/8/2024,560,botas,180,75.71,accesorios
8/18/2025,561,Impermeable,111,113.92,Chaquetas
